,count
กองทุนเงินให้กู้ยืมเพื่อการศึกษา (กยศ.),165
การเงิน,2096
มหาวิทยาลัย,22
สินเชื่อเพื่อที่อยู่อาศัย,488
ธนาคาร,799
มนุษย์เงินเดือน,670
truemove,40
ร้องทุกข์,526
เงินฝากออมทรัพย์,5
ประสบการณ์ชีวิตคู่,224
การวางแผนการเงิน,562
กรมสรรพากร,2
สินเชื่อระยะยาว,151
บัตรเครดิต,754
อสังหาริมทรัพย์,135
การออมเงิน,181
อาชีพหลังเกษียณ,7
ปัญหาชีวิต,2335
โรคซึมเศร้า,78
สินเชื่อรถยนต์,335
Mazda,1
รีไฟแนนซ์,147
ปัญหาครอบครัว,828
สุขภาพจิต,203
วุฒิการศึกษา,1
กฎหมายชาวบ้าน,942
สินเชื่อธุรกิจ,211
ที่ดิน,103
สินเชื่อส่วนบุคคล,320
กฎหมายแพ่ง,504
ทนายความ,535
นักกฎหมาย,178
ตราสารหนี้,105
รถยนต์,110
คอนโดมิเนียม,50
ผู้สูงอายุ,2
ครอบครัว,348
ประกันสินเชื่อบ้าน,18
ธนาคารออมสิน,67
สถาบันการจัดการปัญญาภิวัฒน์,1
ปัญหาความรัก,124
เพื่อนวัยเรียน,29
ปัญหาสังคม,152
สังคมไทย,24
โรคติดเชื้อไวรัสโคโรนาสายพันธุ์ใหม่ 2019 (COVID-19),32
Leasing,14
แฟนเก่า,19
หย่าร้าง,89
เครดิตบูโร,361
การลงทุน,72
บ้าน,169
ความรักวัยทำงาน,50
ศาลาคนเศร้า,24
บัตรเดบิต,3
บัตรประจำตัวประชาชน,2
เจ้าของธุรกิจ,123
ศูนย์บริการรถยนต์,11
ธุรกิจส่วนตัว,46
ปัญหาวัยรุ่น,150
คุ้มครองผู้บริโภค,192
ประสบการณ์ความรัก,36
โฉนดที่ดิน,43
กรมที่ดิน,8
ธนาคารกสิกรไทย,31
บัตรกดเงินสด,162
สุขภาพจิตในผู้สูงอายุ,14
พระราชบัญญัติว่าด้วยการกระทำความผิดเกี่ยวกับคอมพิวเตอร์ (พ.ร.บ.คอมพิวเตอร์),6
คดีความ,78
นักศึกษา,29
หุ้นกู้,2
เตือนภัย,140
โรงพยาบาล,4
พยาบาล,2
ทรัพยากรบุคคล,23
พนักงานประจำ,55
ลูกจ้างสัญญาจ้าง,6
Netflix,1
Socialphobia (ภาพยนตร์),1
ดุลการชำระเงิน,2
ธนาคารเกียรตินาคิน,13
หุ้น,16
TapKTC,6
Part Time,8
รีไฟแนนซ์บ้าน,19
LINE BK,2
ชีวิตหลังเกษียณ,36
โรคย้ำคิดย้ำทำ,2
K-Mobile Banking PLUS,2
กองทุนบำเหน็จบำนาญแห่งชาติ (กบช.),5
การบริหารจัดการ,105
รถกระบะ,7
อู่ซ่อมรถ,6
รถมือสอง,15
บัตรเงินสด M CASH,9
กองทุนกู้ยืมเงินเพื่อการศึกษาที่ผูกกับรายได้ในอนาคต (กรอ.),41
Mobile Application,7
เพื่อนบ้าน,5
ภาษีที่ดินและสิ่งปลูกสร้าง,1
ภาษีเงินได้บุคคลธรรมดา,7
ธนาคารเพื่อการเกษตรและสหกรณ์,27
ภาษีมรดก,11
AEON,37
SME,8
ธุรกิจอสังหาริมทรัพย์,5
กองทุนอสังหาริมทรัพย์ (Property Fund),2
เกษตรกรรม,5
งานค้าขาย,18
เรียนต่อต่างประเทศ,3
ความรักต่างวัย,3
กองทุนรวม,5
ธุรกรรมทางการเงิน,59
สินสอด,14
วางแผนแต่งงาน,3
สินเชื่อระยะกลาง,16
การศึกษา,24
การเรียน,34
รัฐบาล,37
เศรษฐกิจ,83
การพัฒนาสังคม (Social Development),9
วิธีรับมือผู้สูงอายุ,10
Single Mom,38
ภาคเหนือ,1
ชีวิตวัยรุ่น,88
สวัสดิการแรงงาน,1
สินทรัพย์ (Assets),3
นักจิตวิทยา,18
ธนาคารไทยพาณิชย์,36
งานธนาคาร,12
ประกันสังคม,6
ผู้ตรวจสอบบัญชี,1
ธนาคารกรุงศรีอยุธยา,44
บ้านเดี่ยว,19
เพื่อนร่วมงาน,20
การประเมินราคาอสังหาริมทรัพย์,9
เศรษฐศาสตร์,25
กฎหมายอาญา (Criminal Law),24
ปลดหนี้ (รายการโทรทัศน์),2
อุบัติเหตุ,4
อุบัติเหตุบนท้องถนน,7
ตลาดรองสินเชื่อที่อยู่อาศัย,2
ทาวน์โฮม / ทาวน์เฮ้าส์,10
ปริญญาโท,3
ทะเบียนบ้าน,3
อินเทอร์เน็ต,6
TikTok,1
โชว์รูมรถยนต์,22
พินัยกรรม,12
SCB EASY,11
จดทะเบียนหย่า,18
ธนาคารทหารไทยธนชาต,5
ฝึกงาน,1
ข้าราชการครู,24
ศาลาคนโสด,2
ธนาคารไทยเครดิตเพื่อรายย่อย,11
ทะเบียนสมรส,17
ข่าวออนไลน์,4
มอเตอร์ไซค์,42
การวางแผนการศึกษาต่อและประกอบอาชีพ,12
ธนาคารอาคารสงเคราะห์,45
วางแผนครอบครัว,55
ออกแบบและสร้างบ้าน,4
ธุรกิจรับเหมาก่อสร้าง,3
การออกแบบตกแต่งภายใน (Interior Design),1
SCB UP2ME,1
กระเป๋า,1
ลูกหนี้ที่รัก (ละคร),4
ธนาคารทหารไทย,8
ศาสนาพุทธ,8
งานขาย,10
ธนาคารกรุงไทย,53
สุขภาพกาย,6
การอุปสมบท (การบวชพระภิกษุ),3
จิตแพทย์,4
ทุนการศึกษา,2
ทุนการศึกษาพระราชทาน,1
ประเทศรัสเซีย,1
อุปกรณ์กล้อง,1
โรงรับจำนำ,9
JMT (หุ้น),10
บริษัทหลักทรัพย์,3
เกษตรกร,4
ต้นไม้,1
เที่ยวเชิงเกษตร,1
กฎหมายพาณิชย์ (Commercial law),12
กฎแห่งกรรม,4
อาคารพาณิชย์,3
ทีเด็ดลูกหนี้ (รายการโทรทัศน์),2
นายหน้าอสังหาริมทรัพย์,5
Eco Car,3
ดูแลรักษารถยนต์,2
โฆษณาโทรทัศน์ (TVC),1
โฆษณาออนไลน์,1
แต่งงาน,20
SIM Card,1
แต่งมอเตอร์ไซค์,1
ธนาคารซีไอเอ็มบีไทย,4
กระทรวงยุติธรรม,7
คนไทยในต่างแดน,3
ปัญหาผู้สูงอายุ,15
ธุรกิจบริการ,5
การหักลดหย่อน,2
นักลงทุน,10
การสอนลูก,18
คอนโดมิเนียมใกล้รถไฟฟ้า,2
สินเชื่อระยะสั้น,21
Freelance,6
ธนาคารซิตี้แบงค์,7
ธนาคารแห่งประเทศไทย,19
ความรักวัยรุ่น,8
นักสถิติ,1
วิชาการ,2
SECC (หุ้น),1
นักเศรษฐศาสตร์,1
AIS,2
AIS eService,2
ศูนย์บริการเครือข่ายโทรศัพท์มือถือ,21
ธนาคารกรุงเทพ,5
ธนาคารทิสโก้,5
ระบบขนส่งมวลชน,2
พนักงานขาย,6
จำนำข้าว,1
เรียนภาษาระยะยาว,1
ปรัชญา,1
true online,7
ทะเบียนรถ,2
พันธบัตร,3
กระทรวงการคลัง,13
การเลี้ยงลูก,24
เครือข่ายอินเทอร์เน็ต,5
เกม,1
Toyota,4
Toyota Yaris,1
Jaguar (รถยนต์),2
ฝากครรภ์,1
สังคมคุณแม่,6
คุณพ่อคุณแม่มือใหม่,1
แฟชั่น,1
โทรศัพท์,2
ประกันชีวิตสำหรับผู้สูงอายุ,4
Value Investment,1
งบดุล,2
ประกันภัยรถ,4
การก่อสร้างและต่อเติมอาคาร,2
Forex (Foreign Exchange),1
โรคอัลไซเมอร์,1
กรุงเทพมหานคร,4
ตลาดนัด,2
ตลาดนัดกลางคืน (Night Market),1
สังคมชาวพันทิป,23
ศาสนา,2
ธนาคารธนชาต,18
ระบบรายเดือน (Postpaid),8
สมาคมคนหนีโลก,2
หนีตามกาลิเลโอ,1
พระราชบัญญัติจราจรทางบก (พ.ร.บ.จราจรทางบก),1
กฎหมายแรงงาน,7
Nissan Almera,1
ประกันสุขภาพ,6
โรคติดต่อ,2
Krungsri Mobile App,2
โทรศัพท์มือถือ,6
งานไอที,1
บริษัทไอที,1
การเมือง,9
ข่าวเศรษฐกิจ,22
ข่าวต่างประเทศ,2
กระบองเพชร,1
การตลาด,5
พนักงานรายวัน,2
งานวิจัย,2
วิทยานิพนธ์,1
ธนาคารยูโอบี,4
สำนักราชเลขาธิการ,1
ประกันออนไลน์,2
ธนาคารพัฒนาวิสาหกิจขนาดกลางและขนาดย่อมแห่งประเทศไทย,3
วัยเกษียณ,6
คณะนิติศาสตร์,2
ปริญญาตรี,4
ธนาคารอิสลามแห่งประเทศไทย,4
TFEX (Thailand Future Exchange),4
ตั้งครรภ์,5
True WiFi,2
งานโรงแรม,2
หาเพื่อน,3
คนไทยในเยอรมนี,2
Yamaha XMAX,1
Android App,1
จังหวัดเชียงใหม่,3
รถเช่า,1
อาหารว่าง/ของทานเล่น,1
ทำบุญ,6
ปฏิบัติธรรม,3
พ.ร.บ. คอมพิวเตอร์,5
AIS Fibre,1
Suzuki GSX,1
จิตอาสา,2
Reuse,1
ทันตแพทย์,1
คลินิกทันตกรรม,1
ไปรษณีย์ไทย,2
จังหวัดนนทบุรี,1
สังคมผู้สูงอายุ,3
นักเรียน,5
ธุรกิจโรงแรม,2
เมียน้อย (ละคร),1
ภาษีธุรกิจเฉพาะ,1
Honda (รถยนต์),2
Honda City,1
HIV (Human Immunodeficiency Virus),2
ครู - อาจารย์,15
วิทยาลัย,4
เงินตราต่างประเทศ,2
อัตราแลกเปลี่ยน,1
ลำโพง,1
True iService,4
โรงเรียน,6
คนพิการ,3
คนไทยในอังกฤษ,1
ทำงานต่างประเทศ,12
พรรคเพื่อไทย,5
การเมืองท้องถิ่น,3
Hurt Room,1
งานราชการ,5
Counter Service,1
สกุลเงินดิจิตอล,1
รัฐวิสาหกิจ,2
กระทรวงคมนาคม,1
ภาษีนิติบุคคล,4
ห้างหุ้นส่วน,2
เลขมงคล,1
หอพัก,2
นิติบุคคลหมู่บ้านจัดสรร,2
Mobile Operator,2
คัทลียา แมคอินทอช (แหม่ม),1
นักแสดงหญิง,1
ตลาดหลักทรัพย์,1
FINFIN CHANNEL,2
แพทย์,2
ทองรูปพรรณ,2
บุคลากรทางการศึกษา,4
บัญชี,13
กรมสวัสดิการและคุ้มครองแรงงาน,3
คณิตศาสตร์,3
นักคณิตศาสตร์ประกันภัย,1
LINE,1
ตึกแถว,2
SsangYong (รถยนต์),2
เงินฝากประจำ,3
กองทุนการออมแห่งชาติ,1
หน่วยงานของรัฐ,1
ธุรกิจร้านอาหาร,4
กรมทรัพย์สินทางปัญญา,1
Mitsubishi (รถยนต์),1
สำนักงานที่ดิน,9
เพศที่สาม,1
การบินไทย,2
ธรรมทาน,1
ทุนการศึกษาสงเคราะห์ในมูลนิธิราชประชานุเคราะห์,1
สลากออมสิน,1
สถานรับเลี้ยงเด็ก,1
วีซ่า,2
LTX (หุ้น),1
แท็กซี่,1
ประเทศไทย,7
สายการบิน,1
ตลาดหลักทรัพย์แห่งประเทศไทย (SET),2
สุขภาพกายผู้สูงอายุ,2
โครงการลงทะเบียนเพื่อสวัสดิการแห่งรัฐ,3
TISCO (หุ้น),1
Work From Home,1
องค์การบริหารส่วนตำบล,1
โหราศาสตร์,1
Honda (มอเตอร์ไซค์),3
รักสามเส้า,1
ทหารเกณฑ์,3
ประกันสำหรับผู้สูงอายุ,1
จังหวัดพิษณุโลก,1
ธนาคารสินเอเซีย,1
รายการโทรทัศน์,2
นักแสดง,1
ความเชื่อส่วนบุคคล,1
สิ่งลี้ลับ (mystery),1
เครื่องรางของขลัง,1
โบราณวัตถุ,1
เที่ยงวันทันเหตุการณ์,1
รายการข่าว,1
บริษัทพัฒนาอสังหาริมทรัพย์,3
งานโรงงาน,1
ความรักเพศที่สาม,1
MG,1
ภาษีรถยนต์,1
กองทุนสำรองเลี้ยงชีพ,1
นำเข้าส่งออก,2
ภาคใต้,2
รีโนเวทบ้าน,1
ค่ายเพลงเกาหลี,1
JYP Entertainment,1
สายอาชีพ,5
โรคหัวใจ,1
Yamaha,1
พิธีกรรมทางศาสนา,1
ประกันสุขภาพสำหรับผู้สูงอายุ,1
พนักงานบริษัท,8
งานฝีมือ,1
สำนักงานจัดหางานจังหวัด,2
ร้านกาแฟ,1
งบการเงิน,3
ขอแต่งงาน,1
กฎหมายการเมือง,2
รัฐธรรมนูญ,1
Yamaha Aerox,1
บริการเสริมเครือข่ายโทรศัพท์มือถือ,1
เพลง,2
เน็ตไอดอล,2
ทะเบียนรถมงคล,1
โรคไต,4
ซ่อมบำรุงรถยนต์,3
Honda PCX,1
กระทรวงสาธารณสุข,2
กระทรวงเกษตรและสหกรณ์,1
ฟุตบอล,2
แอบรัก,1
การบัญชีการเงิน (Financial Accounting),6
ตกแต่งคอนโดมิเนียม,3
สมาร์ทโฟน,3
ธุรกรรมออนไลน์,1
ซีรีส์ออนไลน์,1
Toyota Vios,1
ออกกำลังกาย,1
จังหวัดตาก,1
อะไหล่รถ,1
Honda Civic,1
เลือกตั้ง,3
พิธีแต่งงาน,2
เรื่องสั้น,3
Kawasaki Z,1
นิติกรรม,1
PayPal,1
รถโดยสารประจำทาง,1
วันตรุษจีน,1
ประชาคมเศรษฐกิจอาเซียน (AEC),1
ประเทศจีน,2
จังหวัดสระแก้ว,1
KBANK (หุ้น),1
บทความ,1
ประวัติศาสตร์,2
ย้ายค่ายเบอร์เดิม,1
Honda Click,1
จิตวิทยา (Psychology),1
แฟลต,1
ศิลปะ,2
เพลงไทยสากล,1
Me by TMB,1
การปลูกพืชไร้ดิน,1
คลินิกความงาม,1
โรงเรียนนายร้อยตำรวจ,2
กสทช. (NBTC),1
Social Network,1
นักวิจัย,1
ชีวิตในต่างแดน,3
การออกแบบและตกแต่งอาคาร,1
สํานักปฏิบัติธรรม,1
สมาคมบริษัทจดทะเบียนไทย,1
สมรักษ์ คำสิงห์,1
โรคผิวหนัง,1
ปรัชญาชีวิต,2
Startup,1
คนไทยในเกาหลี,1
วัด,3
KTB netbank,2
หนังสือราชการ,1
จังหวัดขอนแก่น,1
ภาษีมูลค่าเพิ่ม,1
สำนักงานประกันสังคม,2
ธนบัตร,1
จังหวัดมหาสารคาม,1
ฟิตเนส,1
Nissan Navara,1
Microsoft Excel,1
Microsoft Office,1
คณะแพทยศาสตร์,1
ภาษาจีน,1
มหาวิทยาลัยหัวเฉียวเฉลิมพระเกียรติ,1
ระบบเติมเงิน (Prepaid),1
บัตรเติมเงิน,1
พัฒนาการทารกในครรภ์,1
ร้านถ่ายรูป,1
หนังสือพิมพ์,1
พระสงฆ์,1
นักเรียนนายสิบตำรวจ (นสต.),1
สัตว์เลี้ยง,2
วัว,1
I See You พยาบาลพิเศษ..เคสพิศวง (ซีรีส์),1
กองทุนการเงินระหว่างประเทศ (IMF),1
ยา,1
AEONTS (หุ้น),1
LTF,1
เช็ค (Cheque),2
อพาร์ตเมนต์,1
หนังสือ,1
โหงวเฮ้ง,1
ดูดวงกราฟชีวิต,1
จังหวัดสมุทรสาคร,1
เกษตรทฤษฎีใหม่ตามแนวพระราชดำริ,1
จังหวัดตรัง,1
โหด มัน ฮา ประเทศไทย,1
โรคมะเร็ง,1
การศึกษานอกโรงเรียน (กศน.),1
กระทรวงกลาโหม,1
ไต้หวัน,1
กระทรวงพลังงาน,1
ราคาน้ำมัน,1
พรรคก้าวไกล,4
ราคาทอง,1
คณะกรรมการการเลือกตั้ง (กกต.),1
นักการเมือง,2
วิจิตรศิลป์ (Fine Art),1
ภาพวาดสีน้ำ,1
พาณิชย์ศิลป์ (Commercial Art),1
สินค้าเกษตร,2
ไฟฟ้า,1
สาธารณูปโภค,1
จังหวัดกระบี่,1
สภาผู้แทน,3
อุทกภัย,1
ผลไม้,1
การเมืองต่างประเทศ,1
พรรคการเมือง,1
จังหวัดนครราชสีมา,1
ก้าวแรกสู่สังเวียน,1
ศรราม เทพพิทักษ์ (หนุ่ม),1
ข่าวการเมือง,1
สังคมเมือง (Urban Society),1
AF (หุ้น),1
กระทรวงแรงงาน,1
ของสะสม,1
ฮาร์ดแวร์,1
จังหวัดเพชรบุรี,1
อาหาร,1
เทคโนโลยี,1
สื่อมวลชน,1
ประยุทธ์ จันทร์โอชา,1
iPhone,1
จังหวัดสกลนคร,1
รัฐศาสตร์,2
วิศวกรรมศาสตร์,1
สมาคม,1
สิทธิผู้สูงอายุ,1
ประเทศเยอรมนี,1
คนไทยในญี่ปุ่น,1
หน้าต่างโลก,1
จังหวัดนครศรีธรรมราช,1
Workpoint TV,1
KTC (หุ้น),1
